transaction_id,reference_number,transaction_datetime,transaction_description,originator_name,originator_entity_type,originator_id,originator_gender,originator_country,originator_pep_flag,originator_sanctions_flag,originator_exited_flag,originator_exit_date,originator_sar_flag,originator_dra_alert_flag,originator_dra_score,originator_date_of_birth_or_incorp,beneficiary_name,beneficiary_entity_type,beneficiary_id,beneficiary_gender,beneficiary_country,beneficiary_pep_flag,beneficiary_sanctions_flag,beneficiary_exited_flag,beneficiary_exit_date,beneficiary_sar_flag,beneficiary_dra_alert_flag,beneficiary_dra_score,beneficiary_date_of_birth_or_incorp,amount,currency,amount_usd,transaction_type,channel,product,scenario_tag
T000000000011,SWIFT-I673KLLZCUH1,2025-02-02T17:59:12,Loan repayment INV3792392,Elena Tan,INDIVIDUAL,DEID-9IN4OLR6N9,M,DE,0,0,0,,0,0,632,30/11/66,Brown Commodities GmbH,BUSINESS,MMREG-2SVHOTQF74RQ,X,MM,0,1,0,,0,0,302,16/03/09,277.87,EUR,300.1,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000012,SWIFT-NTD7KFN8K6P6,2025-02-02T18:06:12,Settlement INV9605619,Hannah Ivanov,INDIVIDUAL,FRID-E1U24ZQFEZ,F,FR,0,0,0,,0,0,618,16/03/87,Brown Commodities GmbH,BUSINESS,MMREG-2SVHOTQF74RQ,X,MM,0,1,0,,0,0,302,16/03/09,344.45,EUR,372.01,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000013,SWIFT-M0F6QEPYOHAK,2025-02-02T18:13:12,Transfer INV2866046,Patel Exchange Pte,BUSINESS,DEREG-F8R1PC6KTTGN,X,DE,0,0,0,,0,0,515,25/05/16,Brown Commodities GmbH,BUSINESS,MMREG-2SVHOTQF74RQ,X,MM,0,1,0,,0,0,302,16/03/09,1361.87,EUR,1470.82,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000014,SWIFT-GQ4HPVIU21HO,2025-01-10T13:09:49,Settlement INV9366001,Wei Jones,INDIVIDUAL,DEID-CVS4F8CGVY,M,DE,0,0,0,,0,1,982,03/03/89,Sara Zhang,INDIVIDUAL,USID-5506RR5PCX,M,US,0,0,1,17/08/25,0,0,549,14/12/03,854.3,GBP,1084.96,TRANSFER,WIRE,CURRENT_ACCT,HIGH_CONCENTRATION
T000000000015,ACH-042MZ8M6XHIG,2025-10-16T12:39:00,Fee adjustment,Rossi Payments SA,BUSINESS,NLREG-ZPNAMLQUH50O,X,NL,0,0,0,,0,0,322,25/03/13,Kofi Khan,INDIVIDUAL,FRID-8VE00H2K2P,M,FR,0,0,1,26/08/25,0,0,268,06/01/64,77.94,USD,77.94,PAYMENT,ACH,CURRENT_ACCT,EXITED_CUSTOMER
T000000000016,SWIFT-OR8133HBAEOM,2025-01-01T13:16:27,Transfer INV7224594,Yara Ivanov,INDIVIDUAL,GBID-3RWQMMU7JA,F,GB,0,0,0,,0,0,513,14/12/94,Tom Brown,INDIVIDUAL,DEID-DNBCJ29YFC,F,DE,0,0,0,,0,0,699,15/04/66,799.75,EUR,863.73,TRANSFER,WIRE,BUSINESS_ACCT,RAPID_MOVEMENT
T000000000017,SWIFT-JOHPJF9899FF,2025-01-01T15:14:27,Internal transfer INV9296610,Tom Brown,INDIVIDUAL,DEID-DNBCJ29YFC,F,DE,0,0,0,,0,0,699,15/04/66,Daniel Brown,INDIVIDUAL,SGID-7V882O8ZI9,M,SG,0,0,0,,0,0,217,31/01/76,803.6,EUR,867.89,TRANSFER,WIRE,BUSINESS_ACCT,RAPID_MOVEMENT
T000000000018,SWIFT-4G8ON3W9HX6I,2025-01-01T16:38:27,Settlement INV6729398,Daniel Brown,INDIVIDUAL,SGID-7V882O8ZI9,M,SG,0,0,0,,0,0,217,31/01/76,Tom Khan,INDIVIDUAL,GBID-NX1WVBD4BE,M,GB,0,0,0,,0,0,578,05/03/82,789.45,EUR,852.61,TRANSFER,WIRE,BUSINESS_ACCT,RAPID_MOVEMENT
T000000000019,SWIFT-SKOUZXNLJRNJ,2025-01-22T12:34:09,Internal transfer INV8976306,Leila Brown,INDIVIDUAL,PKID-EMC20LSJWS,M,PK,0,0,0,,0,0,590,28/12/66,Chen Davies,INDIVIDUAL,DEID-9ROS7YT2M6,F,DE,0,0,0,,0,0,272,23/11/78,502.04,USD,502.04,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000020,SWIFT-UYUN9VQR2C23,2025-01-22T12:39:09,Loan repayment INV1600920,Leila Brown,INDIVIDUAL,PKID-EMC20LSJWS,M,PK,0,0,0,,0,0,590,28/12/66,Fatima Patel,INDIVIDUAL,NGID-EIQETK5LP9,M,NG,0,0,0,,0,0,673,15/09/96,1026.48,USD,1026.48,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000021,SWIFT-1P8OTXOUSHFR,2025-01-22T14:34:09,Transfer INV1066070,Fatima Patel,INDIVIDUAL,NGID-EIQETK5LP9,M,NG,0,0,0,,0,0,673,15/09/96,Noah Ivanov,INDIVIDUAL,USID-NZ3JBCK88D,F,US,0,0,0,,0,0,570,30/09/69,360.82,USD,360.82,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000022,SWIFT-IWHWU6YHVWNL,2025-01-22T14:41:09,Internal transfer INV0671660,Chen Davies,INDIVIDUAL,DEID-9ROS7YT2M6,F,DE,0,0,0,,0,0,272,23/11/78,Noah Ivanov,INDIVIDUAL,USID-NZ3JBCK88D,F,US,0,0,0,,0,0,570,30/09/69,385.78,USD,385.78,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000023,FP-APUOLXPOUV75,2025-08-16T14:47:14,Payment for goods INV0874395,Omar Smith,INDIVIDUAL,NLID-11E9FTAXP0,F,NL,0,0,0,,0,1,995,19/03/74,Leila Yilmaz,INDIVIDUAL,DEID-UNKNQT3WVE,F,DE,0,0,0,,0,0,600,10/07/96,46.18,GBP,58.65,PAYMENT,FASTER_PAYMENTS,CURRENT_ACCT,HIGH_CONCENTRATION
T000000000024,FP-WXEZIHZVZGMF,2025-05-18T02:13:46,Rent Mar,Ivanov Logistics GmbH,BUSINESS,AUREG-83DHX8BM92H3,X,AU,0,0,0,,0,0,719,28/10/11,Smith Capital GmbH,BUSINESS,USREG-31YRUJOQW5DS,X,US,0,0,0,,1,0,274,07/07/16,65.3,GBP,82.93,PAYMENT,FASTER_PAYMENTS,SAVINGS,HIGH_CONCENTRATION
T000000000025,ACH-57KHZ22KEUVI,2025-08-30T01:56:54,Loan repayment INV8876326,Kofi Garcia,INDIVIDUAL,DEID-01LHLB50AT,M,DE,0,0,0,,0,0,879,01/08/76,Yara Jones,INDIVIDUAL,SGID-R3OCWBFUK9,M,SG,0,0,0,,1,0,308,02/08/94,1887.67,GBP,2397.34,TRANSFER,ACH,BUSINESS_ACCT,HIGH_CONCENTRATION
T000000000026,SWIFT-U3X5U7DF891Q,2025-10-22T19:02:58,Internal transfer INV6651034,Tom Garcia,INDIVIDUAL,GBID-E0SY5YPUPL,F,GB,0,0,0,,0,0,812,18/08/75,Yara Zhang,INDIVIDUAL,FRID-QRHOFU1WSG,M,FR,0,0,0,,0,0,831,21/08/71,30504.05,USD,30504.05,TRANSFER,WIRE,BUSINESS_ACCT,LARGE_REPORTABLE
T000000000027,SWIFT-PK7FVU3F0MEE,2025-03-16T20:14:49,Services INV2743817 ok,Kofi Yilmaz,INDIVIDUAL,FRID-GVNYRUIWQY,F,FR,0,0,0,,1,0,289,27/08/58,Leila Brown,INDIVIDUAL,AEID-Z42O83RLKT,M,AE,0,0,0,,0,0,779,06/09/94,181.51,GBP,230.52,PAYMENT,WIRE,WALLET,HIGH_CONCENTRATION
T000000000028,SWIFT-OHC7TBH6GO70,2025-10-02T13:31:11,Loan repayment INV0990520,Daniel Miller,INDIVIDUAL,IRID-BJZP97BMZR,F,IR,0,0,0,,0,0,483,16/03/80,Brown Commodities GmbH,BUSINESS,MMREG-2SVHOTQF74RQ,X,MM,0,1,0,,0,0,302,16/03/09,2243.89,GBP,2849.74,TRANSFER,WIRE,WALLET,RAPID_MOVEMENT
T000000000029,SWIFT-O33B29XZ6UK1,2025-10-02T13:45:11,Internal transfer INV1414602,Brown Commodities GmbH,BUSINESS,MMREG-2SVHOTQF74RQ,X,MM,0,1,0,,0,0,302,16/03/09,Noah Miller,INDIVIDUAL,USID-8TB38WXGC7,M,US,0,0,1,09/03/25,0,0,408,08/05/88,2278.98,GBP,2894.3,TRANSFER,WIRE,WALLET,RAPID_MOVEMENT
T000000000030,SWIFT-T2NBFU7PMQM5,2025-10-02T14:03:11,Loan repayment INV8064802,Noah Miller,INDIVIDUAL,USID-8TB38WXGC7,M,US,0,0,1,09/03/25,0,0,408,08/05/88,Amir Ivanov,INDIVIDUAL,PKID-Q8JXLFIUEF,F,PK,0,0,0,,0,0,475,20/01/71,2214.99,GBP,2813.04,TRANSFER,WIRE,WALLET,RAPID_MOVEMENT
T000000000031,VASP-RV1L6CKNC7GI,2025-01-07T07:23:01,Internal transfer INV4066449,Leila Jones,INDIVIDUAL,DEID-55JXURGOWY,M,DE,0,0,1,29/07/25,0,0,733,22/07/83,Amir Khan,INDIVIDUAL,GBID-ADAHP2RNZB,F,GB,0,0,0,,0,0,634,16/03/97,626.46,GBP,795.6,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000032,VASP-82327AQFF2K5,2025-01-07T07:28:01,Settlement INV7810297,Leila Jones,INDIVIDUAL,DEID-55JXURGOWY,M,DE,0,0,1,29/07/25,0,0,733,22/07/83,Priya Yilmaz,INDIVIDUAL,AUID-XXC02DGTFG,F,AU,0,0,0,,0,1,993,08/02/81,165.03,GBP,209.59,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000033,VASP-LJD2V57BMTT7,2025-01-07T07:33:01,Internal transfer INV8792847,Leila Jones,INDIVIDUAL,DEID-55JXURGOWY,M,DE,0,0,1,29/07/25,0,0,733,22/07/83,Jack Chen,INDIVIDUAL,GBID-YAM1N0LH9P,M,GB,0,0,0,,0,0,642,14/03/51,156,GBP,198.12,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000034,VASP-KJS08RWQ1CGE,2025-01-07T09:23:01,Loan repayment INV3801585,Jack Chen,INDIVIDUAL,GBID-YAM1N0LH9P,M,GB,0,0,0,,0,0,642,14/03/51,Noah Lopez,INDIVIDUAL,USID-TJ1GM25LEN,X,US,0,0,0,,0,0,796,14/08/59,347.17,GBP,440.91,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000035,VASP-6QB3KBWIFD8W,2025-01-07T09:30:01,Transfer INV0590695,Priya Yilmaz,INDIVIDUAL,AUID-XXC02DGTFG,F,AU,0,0,0,,0,1,993,08/02/81,Noah Lopez,INDIVIDUAL,USID-TJ1GM25LEN,X,US,0,0,0,,0,0,796,14/08/59,215.66,GBP,273.89,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000036,SWIFT-N860ATH9KP6A,2025-02-09T14:55:46,Loan repayment INV5108111,Priya Ivanov,INDIVIDUAL,MMID-3RAGVLKW1X,M,MM,0,0,0,,0,0,761,10/09/79,Leila Miller,INDIVIDUAL,DEID-PYXDW2ZCFZ,M,DE,0,0,0,,0,0,597,19/07/74,528.92,GBP,671.73,TRANSFER,WIRE,CURRENT_ACCT,RAPID_MOVEMENT
T000000000037,SWIFT-1L2QJZGPXF50,2025-02-09T16:09:46,Internal transfer INV4590480,Leila Miller,INDIVIDUAL,DEID-PYXDW2ZCFZ,M,DE,0,0,0,,0,0,597,19/07/74,Omar Davies,INDIVIDUAL,SGID-G0XTDNWZZG,F,SG,0,0,0,,0,1,989,12/02/62,541.67,GBP,687.92,TRANSFER,WIRE,CURRENT_ACCT,RAPID_MOVEMENT
T000000000038,SWIFT-781HFL1ZOPQZ,2025-01-07T19:27:19,Settlement INV4830816,Fatima Davies,INDIVIDUAL,NLID-LGF309HSUW,F,NL,0,0,0,,0,0,400,26/05/95,Yilmaz Commodities SA,BUSINESS,IRREG-TBTTY9GFYW4I,X,IR,0,0,0,,0,1,979,19/03/98,1973.84,EUR,2131.75,TRANSFER,WIRE,SAVINGS,HIGH_RISK_JURISDICTION
T000000000039,FP-BJT4ZF3D4D32,2025-01-30T12:21:02,Wallet top-up INV3256502,Priya Yilmaz,INDIVIDUAL,SGID-78E9RIVH6T,F,SG,0,0,1,30/06/25,0,0,393,14/07/67,Elena Lopez,INDIVIDUAL,NLID-K8R2YKCCPR,M,NL,0,0,1,22/10/25,0,0,350,07/11/90,425.79,GBP,540.75,CARD_TOPUP,FASTER_PAYMENTS,PREPAID,HIGH_CONCENTRATION
T000000000040,SWIFT-NUS7PSILL0NO,2025-04-26T17:08:05,Settlement INV8155253,Zhang Logistics GmbH,BUSINESS,DEREG-M349EL8HL88K,X,DE,0,0,0,,0,0,842,09/09/07,Daniel Lopez,INDIVIDUAL,IRID-4AGCSTNPEZ,M,IR,0,0,0,,0,0,813,31/05/89,2690.62,GBP,3417.09,TRANSFER,WIRE,PREPAID,HIGH_RISK_JURISDICTION
T000000000041,VASP-Q3OV9JYDFZDT,2025-08-26T02:24:44,Transfer INV2924587,Leila Wilson,INDIVIDUAL,SGID-8G9XIB86KT,F,SG,0,0,0,,0,1,972,09/09/93,Tom Hughes,INDIVIDUAL,NLID-RERVT997E4,M,NL,0,0,0,,0,0,623,07/07/77,168.83,EUR,182.34,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000042,VASP-O5AWLGITIZ7T,2025-08-26T02:29:44,Settlement INV8406100,Leila Wilson,INDIVIDUAL,SGID-8G9XIB86KT,F,SG,0,0,0,,0,1,972,09/09/93,Imran Ivanov,INDIVIDUAL,GBID-YOHAZ7T0UU,F,GB,0,0,0,,0,0,808,22/05/85,14.88,EUR,16.07,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000043,VASP-PII49H5VN28H,2025-08-26T02:34:44,Internal transfer INV4817704,Leila Wilson,INDIVIDUAL,SGID-8G9XIB86KT,F,SG,0,0,0,,0,1,972,09/09/93,Amir Brown,INDIVIDUAL,NLID-9SQWHBEF46,M,NL,0,0,0,,0,0,472,22/03/80,601.68,EUR,649.81,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000044,VASP-PK1ACFSF6ZFY,2025-08-26T02:39:44,Settlement INV9031658,Leila Wilson,INDIVIDUAL,SGID-8G9XIB86KT,F,SG,0,0,0,,0,1,972,09/09/93,Amir Ahmed,INDIVIDUAL,USID-5SYWP0RXXF,M,US,0,0,0,,0,0,510,10/11/63,39.9,EUR,43.09,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000045,VASP-RDB103GW7S43,2025-08-26T02:44:44,Transfer INV7284685,Leila Wilson,INDIVIDUAL,SGID-8G9XIB86KT,F,SG,0,0,0,,0,1,972,09/09/93,Garcia Imports Ltd,BUSINESS,PKREG-EKRCPPRCJIWV,X,PK,0,0,0,,1,0,848,24/02/18,144.17,EUR,155.7,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000046,VASP-XGY93FON8ONG,2025-08-26T04:24:44,Settlement INV9196355,Tom Hughes,INDIVIDUAL,NLID-RERVT997E4,M,NL,0,0,0,,0,0,623,07/07/77,Leila Patel,INDIVIDUAL,AUID-H13CD5GLQJ,M,AU,0,0,0,,0,0,330,28/09/61,345.19,EUR,372.81,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000047,VASP-YWAPKE5AJR1O,2025-08-26T04:31:44,Loan repayment INV5032658,Imran Ivanov,INDIVIDUAL,GBID-YOHAZ7T0UU,F,GB,0,0,0,,0,0,808,22/05/85,Leila Patel,INDIVIDUAL,AUID-H13CD5GLQJ,M,AU,0,0,0,,0,0,330,28/09/61,437.39,EUR,472.38,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000048,VASP-JMWUOCS224EQ,2025-08-26T04:38:44,Internal transfer INV9046455,Amir Ahmed,INDIVIDUAL,USID-5SYWP0RXXF,M,US,0,0,0,,0,0,510,10/11/63,Leila Patel,INDIVIDUAL,AUID-H13CD5GLQJ,M,AU,0,0,0,,0,0,330,28/09/61,340.12,EUR,367.33,TRANSFER,CRYPTO_EXCHANGE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000049,SWIFT-OT6ATJ4MDHUT,2025-04-24T18:39:11,Settlement INV1688318,Kowalski Holdings SA,BUSINESS,DEREG-MYSWE1GA6SRG,X,DE,0,0,0,,0,0,371,11/12/05,Ravi Khan,INDIVIDUAL,AEID-A5MF36BCPW,F,AE,0,0,0,,0,0,473,25/04/94,5651.55,USD,5651.55,TRANSFER,WIRE,WALLET,PATTERN_OF_FUNDS
T000000000050,SWIFT-M9IF826BHYZ1,2025-04-25T13:39:11,Loan repayment INV6046525,Ravi Khan,INDIVIDUAL,AEID-A5MF36BCPW,F,AE,0,0,0,,0,0,473,25/04/94,Jack Khan,INDIVIDUAL,GBID-JIYS2N75BX,F,GB,0,0,0,,0,0,701,24/09/95,5448.82,USD,5448.82,TRANSFER,WIRE,WALLET,PATTERN_OF_FUNDS
T000000000051,SWIFT-T49PUSRZAEQO,2025-04-25T22:39:11,Loan repayment INV8732993,Jack Khan,INDIVIDUAL,GBID-JIYS2N75BX,F,GB,0,0,0,,0,0,701,24/09/95,Leila Wilson,INDIVIDUAL,SGID-8G9XIB86KT,F,SG,0,0,0,,0,1,972,09/09/93,5419.16,USD,5419.16,TRANSFER,WIRE,WALLET,PATTERN_OF_FUNDS
T000000000052,SWIFT-7OJMP6O6F7N2,2025-04-27T12:39:11,Loan repayment INV0623602,Leila Wilson,INDIVIDUAL,SGID-8G9XIB86KT,F,SG,0,0,0,,0,1,972,09/09/93,Kowalski Payments SA,BUSINESS,KPREG-CYHONBPQGA6X,X,KP,0,0,1,06/08/25,0,1,970,23/05/96,5655.36,USD,5655.36,TRANSFER,WIRE,WALLET,PATTERN_OF_FUNDS
T000000000053,SWIFT-WXPBRRNTYLVV,2025-04-25T18:39:11,Transfer INV9644341,Kowalski Payments SA,BUSINESS,KPREG-CYHONBPQGA6X,X,KP,0,0,1,06/08/25,0,1,970,23/05/96,Omar Garcia,INDIVIDUAL,GBID-I4O6Q0USWO,F,GB,0,0,0,,0,0,243,01/02/76,5424.21,USD,5424.21,TRANSFER,WIRE,WALLET,PATTERN_OF_FUNDS
T000000000054,VASP-CZR7XWQF1TTI,2025-05-10T07:56:34,Services INV7218807,Chen Smith,INDIVIDUAL,FRID-8TVQ05PXT6,F,FR,0,0,0,,0,0,621,26/04/80,Noah Smith,INDIVIDUAL,IRID-KMGS6RV977,F,IR,0,0,0,,0,0,712,08/10/55,593.34,USD,593.34,PAYMENT,CRYPTO_EXCHANGE,WALLET,HIGH_RISK_JURISDICTION
T000000000055,SWIFT-VJQJINH1K504,2025-02-24T08:21:51,Transfer INV7349330 pls process,Leila Yilmaz,INDIVIDUAL,NGID-0IPFG8PJVR,F,NG,0,0,0,,0,0,240,27/02/84,Hannah Davies,INDIVIDUAL,AFID-BHQGHLZRUW,M,AF,0,0,1,15/05/25,0,0,603,15/07/99,959.28,USD,959.28,TRANSFER,WIRE,WALLET,HIGH_RISK_JURISDICTION
T000000000056,SWIFT-63UMGTHKTGYL,2025-08-23T04:41:22,Settlement INV1207626 thanks,Leila Patel,INDIVIDUAL,AUID-H13CD5GLQJ,M,AU,0,0,0,,0,0,330,28/09/61,Noah Miller,INDIVIDUAL,USID-8TB38WXGC7,M,US,0,0,1,09/03/25,0,0,408,08/05/88,777.03,GBP,986.83,TRANSFER,WIRE,BUSINESS_ACCT,PATTERN_OF_FUNDS
T000000000057,SWIFT-YGKNDR07VO79,2025-08-23T09:41:22,Urgent transfer INV3369748,Noah Miller,INDIVIDUAL,USID-8TB38WXGC7,M,US,0,0,1,09/03/25,0,0,408,08/05/88,Daniel Ahmed,INDIVIDUAL,PKID-5CPA16KJ75,F,PK,0,0,0,,1,0,701,15/04/65,787.7,GBP,1000.38,TRANSFER,WIRE,BUSINESS_ACCT,PATTERN_OF_FUNDS
T000000000058,SWIFT-YETTRUTI7ZFZ,2025-08-23T22:41:22,Transfer INV3558649,Daniel Ahmed,INDIVIDUAL,PKID-5CPA16KJ75,F,PK,0,0,0,,1,0,701,15/04/65,Davies Capital SA,BUSINESS,GBREG-LU6VFUA9BQ1B,X,GB,0,0,0,,0,0,843,03/09/11,776.43,GBP,986.07,TRANSFER,WIRE,BUSINESS_ACCT,PATTERN_OF_FUNDS
T000000000059,SWIFT-WQNG6N1RWU1E,2025-08-25T13:41:22,Loan repayment INV6226375,Davies Capital SA,BUSINESS,GBREG-LU6VFUA9BQ1B,X,GB,0,0,0,,0,0,843,03/09/11,Rossi Commodities Ltd,BUSINESS,PKREG-D8ZVFSRHR8WM,X,PK,0,0,0,,0,0,855,12/11/16,794.85,GBP,1009.46,TRANSFER,WIRE,BUSINESS_ACCT,PATTERN_OF_FUNDS
T000000000060,SWIFT-X6QCALUK8732,2025-08-26T04:41:22,Transfer INV8014576,Rossi Commodities Ltd,BUSINESS,PKREG-D8ZVFSRHR8WM,X,PK,0,0,0,,0,0,855,12/11/16,Chen Ahmed,INDIVIDUAL,MMID-YFYK3MD6X7,M,MM,0,0,0,,0,0,597,30/12/64,801.92,GBP,1018.44,TRANSFER,WIRE,BUSINESS_ACCT,PATTERN_OF_FUNDS
T000000000061,FP-5A2X54U44QUN,2025-07-23T03:23:13,Transfer INV2578102,Sara Lopez,INDIVIDUAL,AEID-5DZ53X1F8S,F,AE,0,0,0,,0,0,815,30/11/69,Marta Wilson,INDIVIDUAL,PKID-KUO4JH9JPD,F,PK,0,0,0,,0,0,500,06/07/85,8806.09,EUR,9510.58,TRANSFER,FASTER_PAYMENTS,CURRENT_ACCT,RAPID_MOVEMENT
T000000000062,FP-1YHYA0EIVA8T,2025-07-23T03:51:13,Transfer INV4428366,Marta Wilson,INDIVIDUAL,PKID-KUO4JH9JPD,F,PK,0,0,0,,0,0,500,06/07/85,Leila Jones,INDIVIDUAL,DEID-55JXURGOWY,M,DE,0,0,1,29/07/25,0,0,733,22/07/83,8778.52,EUR,9480.8,TRANSFER,FASTER_PAYMENTS,CURRENT_ACCT,RAPID_MOVEMENT
